GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TransactionService,com.homework.transactionservice.transaction.service.impl,TransactionServiceImpl,15,252,4,24,3,44,4,17,0,7
TransactionService,com.homework.transactionservice.config.mybatisplus,DateTimeMetaObjectHandler,10,20,0,0,3,5,1,2,1,2
TransactionService,com.homework.transactionservice.config.mybatisplus,MyBatisPlusConfig,0,19,0,0,0,5,0,3,0,3
TransactionService,com.homework.transactionservice.validation,PatternRegex,3,0,0,0,1,0,1,0,1,0
TransactionService,com.homework.transactionservice,TransactionServiceApplication,5,3,0,0,2,1,1,1,1,1
TransactionService,com.homework.transactionservice.transaction.vo,CursorVO,0,24,0,0,0,5,0,7,0,7
TransactionService,com.homework.transactionservice.transaction.vo,TransactionVO,0,80,0,0,0,13,0,23,0,23
TransactionService,com.homework.transactionservice.transaction.vo,Result,0,56,0,0,0,16,0,10,0,10
TransactionService,com.homework.transactionservice.transaction.vo,PageResult,7,10,0,0,2,4,2,2,2,2
TransactionService,com.homework.transactionservice.transaction.model,CursorPage,19,40,1,1,2,12,6,5,5,5
TransactionService,com.homework.transactionservice.transaction.model,Transaction,0,80,0,0,0,13,0,23,0,23
TransactionService,com.homework.transactionservice.transaction.model,TransactionConverter,3,26,0,0,1,7,1,3,1,3
TransactionService,com.homework.transactionservice.exception,BusinessException,0,4,0,0,0,2,0,1,0,1
TransactionService,com.homework.transactionservice.exception,BaseException,0,12,0,0,0,4,0,2,0,2
TransactionService,com.homework.transactionservice.exception.enums,ErrorCode,0,76,0,0,0,14,0,4,0,4
TransactionService,com.homework.transactionservice.exception.handler,GlobalExceptionHandler,14,85,3,3,4,19,4,7,1,7
TransactionService,com.homework.transactionservice.transaction.dto,CursorDto,11,15,0,0,2,6,3,3,3,3
TransactionService,com.homework.transactionservice.transaction.dto,TransactionCreateDto,0,59,0,0,0,10,0,17,0,17
TransactionService,com.homework.transactionservice.transaction.dto,TransactionUpdateDto,0,17,0,0,0,4,0,5,0,5
TransactionService,com.homework.transactionservice.transaction.dto,TransactionQueryDto,0,52,0,0,0,9,0,15,0,15
TransactionService,com.homework.transactionservice.transaction.controller,TransactionController,6,67,2,2,1,15,2,5,0,5
